編輯總資料庫
,成語,出處,頻次
212,一代不如一代,"[J]:漢語成語考釋詞典
[V]:中國成語大辭典
[AC]:成語典",3
213,一代文宗,"[J]:漢語成語考釋詞典
[S]:活用成語分類辭典(上)(下)
[W]:成語大辭典(上)(下)
[AC]:成語典",4
214,一代文豪,"[N]:遠流活用成語辭典
[W]:成語大辭典(上)(下)",2
215,一代巨人,"[B]:中國成語大辭典
[V]:中國成語大辭典",2
216,一代佳人,"[S]:活用成語分類辭典(上)(下)",1
217,一代宗匠,"[J]:漢語成語考釋詞典",1
218,一代宗臣,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
219,一代風流,"[G(1)]:實用成語辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",6
220,一代風騷,"[W]:成語大辭典(上)(下)",1
221,一代容華,"[S]:活用成語分類辭典(上)(下)
[AC]:成語典",2
222,一代楷模,"[B]:中國成語大辭典
[K]:中國成語大辭典
[L]:小叮噹漫書成語小百科(1)~(10)
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",7
223,一代鼎臣,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
224,一代談宗,"[J]:漢語成語考釋詞典",1
225,一代儒宗,"[J]:漢語成語考釋詞典",1
226,一代辭宗,"[J]:漢語成語考釋詞典",1
227,一以貫之,"[G(1)]:實用成語辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[S]:活用成語分類辭典(上)(下)
[W]:成語大辭典(上)(下)
[AC]:成語典",7
228,一以當十,"[B]:中國成語大辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",8
229,一出一人,"[W]:成語大辭典(上)(下)",1
230,一出而不反者言也,"[B]:中國成語大辭典",1
231,一去不返,"[J]:漢語成語考釋詞典
[W]:成語大辭典(上)(下)",2
