編輯總資料庫
,成語,出處,頻次
45339,禮之用，和為貴,"[K]:中國成語大辭典",1
45340,禮失求諸野,"[V]:中國成語大辭典
[AC]:成語典",2
45341,禮先壹飯,"[V]:中國成語大辭典
[AC]:成語典",2
45342,禮多人不怪,"[I]:實用分類學生成語辭典(上)(下)
[K]:中國成語大辭典
[AC]:成語典",3
45343,禮多必詐,"[AB]:漢英對照成語辭典
[AC]:成語典",2
45344,禮有往來,"[J]:漢語成語考釋詞典",1
45345,禮尚往來,"[B]:中國成語大辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[O(下)]:讀成語寫作文(上)(下)
[P(上)]:成語分類辭典(上)(下)
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[Z]:成語辨正辭典
[AA]:成語典故文選(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",19
45346,禮所當然,"[J]:漢語成語考釋詞典",1
45347,禮物不答,"[B]:中國成語大辭典",1
45348,禮門義路,"[B]:中國成語大辭典
[V]:中國成語大辭典
[AC]:成語典",3
45349,禮崩樂壞,"[K]:中國成語大辭典",1
45350,禮奢寧儉,"[K]:中國成語大辭典",1
45351,禮無不答,"[K]:中國成語大辭典
[AC]:成語典",2
45352,禮順人情,"[K]:中國成語大辭典",1
45353,禮義之邦,"[V]:中國成語大辭典",1
45354,禮義生於富足,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[V]:中國成語大辭典
[AC]:成語典",4
45355,禮義廉恥,"[K]:中國成語大辭典",1
45356,禮輕人意重,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[AC]:成語典",3
45357,禮輕情意重,"[K]:中國成語大辭典
[O(下)]:讀成語寫作文(上)(下)",2
45358,禮廢樂崩,"[K]:中國成語大辭典",1
45359,禮樂崩壞,"[K]:中國成語大辭典",1
45360,禮賢下士,"[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)",9
45361,禮賢下世,"[AC]:成語典",1
45362,禮賢接士,"[K]:中國成語大辭典",1
45363,禮賢遠佞,"[K]:中國成語大辭典",1
45364,禮壞樂缺,"[K]:中國成語大辭典",1
45365,禮壞樂崩,"[K]:中國成語大辭典",1
45366,禮讓為國,"[K]:中國成語大辭典",1
45367,穠李天桃,"[J]:漢語成語考釋詞典",1
45368,穠纖合度,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[G(1)]:實用成語辭典
[O(下)]:讀成語寫作文(上)(下)
[AC]:成語典",5
45369,穠纖適宜,"[W]:成語大辭典(上)(下)",1
45370,穢言污語,"[J]:漢語成語考釋詞典",1
45371,穢語污言,"[AC]:成語典",1
45372,穢德彰聞,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",6
45373,簞食壺漿,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[AC]:成語典
[AD]:洪葉活用成語辭典",13
45374,簞食瓢飲,"[A]:彩圖典故辭典(精)
[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[M]:(小學生語文學習文庫)成語中的知識第一輯(一)~(四)加附錄
[N]:遠流活用成語辭典
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[Z]:成語辨正辭典
[AC]:成語典",17
45375,簞食飄飲,"[AA]:成語典故文選(上)(下)",1
45376,簞壺,"[J]:漢語成語考釋詞典",1
45377,簞瓢,"[J]:漢語成語考釋詞典",1
45378,簞瓢陋巷,"[K]:中國成語大辭典",1
45379,簞瓢屢空,"[B]:中國成語大辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",9
45380,簞醪投川,"[J]:漢語成語考釋詞典",1
45381,簠簋不飭,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)",2
45382,簠簋不飾,"[K]:中國成語大辭典
[AC]:成語典",2
45383,簠簠,"[J]:漢語成語考釋詞典",1
45384,簠簠不飾,"[J]:漢語成語考釋詞典",1
45385,簡之又簡,"[AC]:成語典",1
45386,簡冊流芳,"[S]:活用成語分類辭典(上)(下)",1
45387,簡在帝心,"[K]:中國成語大辭典",1
45388,簡而言之,"[AB]:漢英對照成語辭典",1
45389,簡拔人才,"[S]:活用成語分類辭典(上)(下)",1
45390,簡明扼要,"[E]:成語辭典
[H]:活用造句辭典(成語部分)
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(下)]:成語分類辭典(上)(下)",5
45391,簡單明瞭,"[AB]:漢英對照成語辭典",1
45392,簡慢,"[AC]:成語典",1
45393,簡截了當,"[K]:中國成語大辭典",1
45394,簡練揣摩,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)",2
45395,簡斷編殘,"[J]:漢語成語考釋詞典",1
45396,簪笏之士,"[S]:活用成語分類辭典(上)(下)",1
45397,簪花妙格,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[AC]:成語典",3
45398,簪筆磬折,"[AC]:成語典",1
45399,簪屨,"[J]:漢語成語考釋詞典",1
45400,簪纓之士,"[S]:活用成語分類辭典(上)(下)",1
45401,簪纓世胄,"[K]:中國成語大辭典",1
45402,簪纓間第,"[K]:中國成語大辭典",1
45403,簪纓縉紳,"[S]:活用成語分類辭典(上)(下)
[AC]:成語典",2
45404,簫韶九成,"[K]:中國成語大辭典",1
45405,糧多草廣,"[K]:中國成語大辭典",1
45406,糧盡援絕,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
45407,繈至輻湊,"[AC]:成語典",1
45408,織女渡河,"[AA]:成語典故文選(上)(下)",1
45409,織錦文,"[AC]:成語典",1
45410,織錦迴文,"[K]:中國成語大辭典",1
45411,織簾,"[A]:彩圖典故辭典(精)",1
45412,繕甲治兵,"[K]:中國成語大辭典",1
45413,繕甲厲兵,"[K]:中國成語大辭典",1
45414,繞指柔,"[K]:中國成語大辭典",1
45415,繞指柔腸,"[K]:中國成語大辭典",1
45416,繞梁,"[J]:漢語成語考釋詞典",1
45417,繞梁三日,"[E]:成語辭典
[G(1)]:實用成語辭典
[S]:活用成語分類辭典(上)(下)
[W]:成語大辭典(上)(下)
[Z]:成語辨正辭典
[AC]:成語典
[AD]:洪葉活用成語辭典",7
45418,繞梁之音,"[K]:中國成語大辭典
[AC]:成語典",2
45419,繞梁餘韻,"[I]:實用分類學生成語辭典(上)(下)
[V]:中國成語大辭典",2
45420,繞朝策,"[A]:彩圖典故辭典(精)",1
45421,繞朝贈策,"[AC]:成語典",1
45422,繞翠圍珠,"[J]:漢語成語考釋詞典",1
45423,繞膝承歡,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)",5
45424,繡口錦心,"[K]:中國成語大辭典",1
45425,繡戶珠廉,"[J]:漢語成語考釋詞典",1
45426,繡虎雕龍,"[K]:中國成語大辭典",1
45427,繡陌綺街,"[AC]:成語典",1
45428,繡花枕頭,"[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[K]:中國成語大辭典
[O(下)]:讀成語寫作文(上)(下)
[V]:中國成語大辭典",6
45429,繡廉朱戶,"[J]:漢語成語考釋詞典",1
45430,繡閣花殘,"[S]:活用成語分類辭典(上)(下)",1
45431,繡囊,"[A]:彩圖典故辭典(精)",1
45432,翹企,"[J]:漢語成語考釋詞典
[AC]:成語典",2
45433,翹尾巴,"[AB]:漢英對照成語辭典",1
45434,翹足引領,"[G(1)]:實用成語辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[O(上)]:讀成語寫作文(上)(下)
[S]:活用成語分類辭典(上)(下)
[W]:成語大辭典(上)(下)
[AC]:成語典",7
45435,翹足以待,"[S]:活用成語分類辭典(上)(下)",1
45436,翹足可待,"[V]:中國成語大辭典",1
45437,翹足而待,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[AC]:成語典",6
45438,翹足而須,"[J]:漢語成語考釋詞典",1
45439,翹首引領,"[K]:中國成語大辭典",1
45440,翹首企足,"[J]:漢語成語考釋詞典",1
45441,翻三覆四,"[S]:活用成語分類辭典(上)(下)",1
45442,翻山越嶺,"[H]:活用造句辭典(成語部分)
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(上)]:成語分類辭典(上)(下)
[S]:活用成語分類辭典(上)(下)
[U]:同義反義成語詞典
[AB]:漢英對照成語辭典",7
45443,翻天作地,"[J]:漢語成語考釋詞典",1
45444,翻天覆地,"[E]:成語辭典
[H]:活用造句辭典(成語部分)
[J]:漢語成語考釋詞典
[N]:遠流活用成語辭典
[S]:活用成語分類辭典(上)(下)",5
45445,翻天攪地,"[J]:漢語成語考釋詞典",1
45446,翻手為雲,"[K]:中國成語大辭典",1
45447,翻手為雲覆手雨,"[K]:中國成語大辭典",1
45448,翻手為雲，覆手為雨,"[P(下)]:成語分類辭典(上)(下)",1
45449,翻江倒海,"[E]:成語辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(下)]:成語分類辭典(上)(下)
[U]:同義反義成語詞典
[AB]:漢英對照成語辭典",7
45450,翻江攪海,"[J]:漢語成語考釋詞典
[AC]:成語典",2
45451,翻老賬,"[AB]:漢英對照成語辭典",1
45452,翻來覆去,"[E]:成語辭典
[J]:漢語成語考釋詞典
[N]:遠流活用成語辭典
[AC]:成語典",4
45453,翻來（覆）復去,"[P(下)]:成語分類辭典(上)(下)",1
45454,翻空出奇,"[J]:漢語成語考釋詞典",1
45455,翻盆雨,"[AC]:成語典",1
45456,翻唇弄舌,"[K]:中國成語大辭典",1
45457,翻脣弄舌,"[AC]:成語典",1
45458,翻陳出新,"[J]:漢語成語考釋詞典",1
45459,翻然改悔,"[J]:漢語成語考釋詞典",1
45460,翻然改進,"[AD]:洪葉活用成語辭典",1
45461,翻然改圖,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
45462,翻然悔悟,"[E]:成語辭典
[H]:活用造句辭典(成語部分)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典",5
45463,翻筋斗,"[AC]:成語典",1
45464,翻雲覆雨,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(上)]:成語分類辭典(上)(下)
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",15
45465,翻黃倒皂,"[K]:中國成語大辭典",1
45466,翻（幡）然悔悟,"[P(上)]:成語分類辭典(上)(下)",1
45467,翻箱倒篋,"[E]:成語辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典",3
45468,翻箱倒櫃,"[H]:活用造句辭典(成語部分)
[N]:遠流活用成語辭典
[P(上)]:成語分類辭典(上)(下)",3
45469,翻箱倒籠,"[K]:中國成語大辭典",1
45470,翻臉不認人,"[J]:漢語成語考釋詞典
[AB]:漢英對照成語辭典",2
45471,翻臉無情,"[J]:漢語成語考釋詞典
[S]:活用成語分類辭典(上)(下)",2
45472,翻覆無常,"[B]:中國成語大辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[V]:中國成語大辭典",4
45473,翼卵,"[AC]:成語典",1
45474,翼殷不逝,"[AC]:成語典",1
45475,翼翼小心,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
45476,職是之故,"[B]:中國成語大辭典
[V]:中國成語大辭典",2
45477,職為亂階,"[J]:漢語成語考釋詞典",1
45478,臍噬,"[AE]:漢大成語大詞典",1
45479,舊仇宿怨,"[E]:成語辭典",1
45480,舊令尹之政，必告新令尹,"[V]:中國成語大辭典",1
45481,舊地重遊,"[H]:活用造句辭典(成語部分)",1
45482,舊事不厭，百回讀,"[V]:中國成語大辭典",1
45483,舊事重提,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典",5
45484,舊念復萌,"[K]:中國成語大辭典",1
45485,舊雨今雨,"[G(2)]:實用成語辭典
[K]:中國成語大辭典
[AC]:成語典",3
45486,舊雨重逢,"[B]:中國成語大辭典
[J]:漢語成語考釋詞典
[T]:成語辨正辭典
[V]:中國成語大辭典",4
45487,舊雨新知,"[B]:中國成語大辭典
[C]:經典成語
[D]:簡明實用成語辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[J]:漢語成語考釋詞典
[R]:新編兒童成語小百科(1)~(12)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[Z]:成語辨正辭典
[AC]:成語典",12
45488,舊恨新仇,"[W]:成語大辭典(上)(下)",1
45489,舊恨新悉,"[B]:中國成語大辭典",1
45490,舊恨新愁,"[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[V]:中國成語大辭典
[AC]:成語典",6
45491,舊家行徑,"[K]:中國成語大辭典",1
45492,舊時風味,"[K]:中國成語大辭典",1
45493,舊書不厭百回讀,"[B]:中國成語大辭典
[G(1)]:實用成語辭典
[W]:成語大辭典(上)(下)",3
45494,舊病復發,"[J]:漢語成語考釋詞典
[N]:遠流活用成語辭典",2
45495,舊病難醫,"[K]:中國成語大辭典",1
45496,舊瓶新酒,"[D]:簡明實用成語辭典
[G(1)]:實用成語辭典
[N]:遠流活用成語辭典
[T]:成語辨正辭典
[U]:同義反義成語詞典
[AB]:漢英對照成語辭典",6
45497,舊瓶裝新酒,"[B]:中國成語大辭典
[E]:成語辭典
[K]:中國成語大辭典
[V]:中國成語大辭典
[AC]:成語典",5
45498,舊愁新恨,"[K]:中國成語大辭典",1
45499,舊愛宿恩,"[K]:中國成語大辭典",1
45500,舊態復萌,"[K]:中國成語大辭典",1
45501,舊調重彈,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[K]:中國成語大辭典
[T]:成語辨正辭典
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",12
45502,舊燕歸巢,"[K]:中國成語大辭典",1
45503,舊識新交,"[K]:中國成語大辭典",1
45504,蔽日遮天,"[J]:漢語成語考釋詞典",1
45505,蔽月羞花,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",6
45506,蔽以一言,"[J]:漢語成語考釋詞典",1
45507,蔽賢妒能,"[J]:漢語成語考釋詞典",1
45508,蔽聰塞明,"[K]:中國成語大辭典",1
45509,蕉鹿,"[J]:漢語成語考釋詞典",1
45510,蕉鹿之夢,"[AA]:成語典故文選(上)(下)",1
45511,蕉鹿自欺,"[AD]:洪葉活用成語辭典",1
45512,蕉鹿夢,"[A]:彩圖典故辭典(精)",1
45513,蕉間得鹿,"[J]:漢語成語考釋詞典",1
45514,蕘夫之歌,"[S]:活用成語分類辭典(上)(下)",1
45515,蕙心紈質,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[AC]:成語典",3
45516,蕙心蘭質,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
45517,蕙折蘭摧,"[B]:中國成語大辭典
[AC]:成語典",2
45518,蕙嘆芝杰,"[J]:漢語成語考釋詞典",1
45519,蕙質蘭心,"[B]:中國成語大辭典
[G(2)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",8
45520,蕞爾小國,"[D]:簡明實用成語辭典
[G(2)]:實用成語辭典
[Z]:成語辨正辭典",3
45521,蕞爾之地,"[S]:活用成語分類辭典(上)(下)",1
45522,蕩心悅目,"[J]:漢語成語考釋詞典",1
45523,蕩析離居,"[B]:中國成語大辭典
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[AC]:成語典",5
45524,蕩氣回腸,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[V]:中國成語大辭典",3
45525,蕩氣迴腸,"[D]:簡明實用成語辭典
[E]:成語辭典
[G(2)]:實用成語辭典
[H]:活用造句辭典(成語部分)",4
45526,蕩產傾家,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
45527,蕩然,"[J]:漢語成語考釋詞典",1
45528,蕩然無存,"[B]:中國成語大辭典
[J]:漢語成語考釋詞典
[N]:遠流活用成語辭典
[P(下)]:成語分類辭典(上)(下)
[V]:中國成語大辭典
[AC]:成語典",6
45529,蕩然無遺,"[J]:漢語成語考釋詞典",1
45530,蕩滌邪穢,"[J]:漢語成語考釋詞典",1
45531,蕩魄銷魂,"[B]:中國成語大辭典",1
45532,蕩檢逾閑,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
45533,蕩檢踰閑,"[G(2)]:實用成語辭典
[V]:中國成語大辭典",2
45534,蕩檢踰閒,"[B]:中國成語大辭典
[AC]:成語典",2
45535,蕩穢滌瑕,"[J]:漢語成語考釋詞典",1
45536,蕩蕩之勳,"[AC]:成語典",1
45537,蕩蕩悠悠,"[AC]:成語典",1
45538,蕭寺,"[A]:彩圖典故辭典(精)",1
45539,蕭行范篆,"[K]:中國成語大辭典",1
45540,蕭何追韓信,"[P(上)]:成語分類辭典(上)(下)",1
45541,蕭艾敷榮,"[J]:漢語成語考釋詞典",1
45542,蕭郎陌路,"[V]:中國成語大辭典",1
45543,蕭郎異路,"[AA]:成語典故文選(上)(下)",1
45544,蕭規,"[J]:漢語成語考釋詞典",1
45545,蕭規曹隨,"[A]:彩圖典故辭典(精)
[B]:中國成語大辭典
[C]:經典成語
[D]:簡明實用成語辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[M]:(小學生語文學習文庫)成語中的知識第一輯(一)~(四)加附錄
[N]:遠流活用成語辭典
[R]:新編兒童成語小百科(1)~(12)
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[X]:常用成語用法
[Z]:成語辨正辭典
[AA]:成語典故文選(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典
[AD]:洪葉活用成語辭典",23
45546,蕭然物外,"[J]:漢語成語考釋詞典",1
45547,蕭敷艾榮,"[J]:漢語成語考釋詞典",1
45548,蕭墻禍起,"[J]:漢語成語考釋詞典",1
45549,蕭牆之患,"[A]:彩圖典故辭典(精)",1
45550,蕭牆之禍,"[B]:中國成語大辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",7
45551,蕭牆之變,"[AT]:中華成語辭海",1
45552,蕭牆禍起,"[K]:中國成語大辭典",1
45553,蕭齋,"[A]:彩圖典故辭典(精)",1
45554,蟠地極天,"[J]:漢語成語考釋詞典",1
45555,蟠龍踞虎,"[J]:漢語成語考釋詞典",1
45556,蟪蛄不知春秋,"[B]:中國成語大辭典
[G(2)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[W]:成語大辭典(上)(下)
[AC]:成語典",5
45557,蟬不知雪,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[AC]:成語典",5
45558,蟬衫麟帶,"[AC]:成語典",1
45559,蟬腹龜腸,"[B]:中國成語大辭典
[J]:漢語成語考釋詞典
[AC]:成語典",3
45560,蟬蛻,"[AC]:成語典",1
45561,蟬聯不絕,"[B]:中國成語大辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",4
45562,蟬聲高唱,"[O(下)]:讀成語寫作文(上)(下)",1
45563,蟬翼,"[AC]:成語典",1
45564,蟲沙,"[J]:漢語成語考釋詞典
[AC]:成語典",2
45565,蟲沙猿鶴,"[G(2)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[AA]:成語典故文選(上)(下)",5
45566,蟲豸,"[AC]:成語典",1
45567,蟲篆小技,"[J]:漢語成語考釋詞典",1
45568,蟲篆小枝,"[J]:漢語成語考釋詞典",1
45569,蟲臂,"[J]:漢語成語考釋詞典",1
45570,蟲臂鼠肝,"[B]:中國成語大辭典
[G(2)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[AC]:成語典",7
45571,蟲霜水旱,"[B]:中國成語大辭典
[G(2)]:實用成語辭典
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[AC]:成語典",5
45572,覆手牽羊,"[J]:漢語成語考釋詞典",1
45573,覆水不收,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
45574,覆水不救,"[J]:漢語成語考釋詞典",1
45575,覆水雞收,"[AB]:漢英對照成語辭典",1
45576,覆水難收,"[A]:彩圖典故辭典(精)
[B]:中國成語大辭典
[C]:經典成語
[D]:簡明實用成語辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[R]:新編兒童成語小百科(1)~(12)
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[Z]:成語辨正辭典
[AC]:成語典
[AD]:洪葉活用成語辭典",18
45577,覆水難數,"[U]:同義反義成語詞典",1
45578,覆去番來,"[K]:中國成語大辭典",1
45579,覆去翻來,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
45580,覆地翻天,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[AC]:成語典",3
45581,覆舟之戒,"[K]:中國成語大辭典",1
45582,覆舟載舟,"[K]:中國成語大辭典",1
45583,覆車之戒,"[K]:中國成語大辭典",1
45584,覆車之軌,"[K]:中國成語大辭典",1
45585,覆車之轍,"[K]:中國成語大辭典",1
45586,覆車之鑑,"[N]:遠流活用成語辭典",1
45587,覆車之鑒,"[K]:中國成語大辭典",1
45588,覆車當戒,"[G(2)]:實用成語辭典",1
45589,覆車難收,"[E]:成語辭典",1
45590,覆車繼軌,"[K]:中國成語大辭典",1
45591,覆宗絕嗣,"[K]:中國成語大辭典",1
45592,覆宗滅祀,"[K]:中國成語大辭典",1
45593,覆盂之固,"[K]:中國成語大辭典",1
45594,覆雨翻雲,"[E]:成語辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[AC]:成語典",4
45595,覆前戒後,"[J]:漢語成語考釋詞典",1
45596,覆盆之冤,"[J]:漢語成語考釋詞典
[N]:遠流活用成語辭典",2
45597,覆盆難照,"[K]:中國成語大辭典",1
45598,覆軍殺將,"[K]:中國成語大辭典",1
45599,覆海移山,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
45600,覆盎,"[J]:漢語成語考釋詞典",1
45601,覆酒瓮,"[J]:漢語成語考釋詞典",1
45602,覆巢之下，安有完卵,"[I]:實用分類學生成語辭典(上)(下)",1
45603,覆巢之下無完卵,"[D]:簡明實用成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[J]:漢語成語考釋詞典
[N]:遠流活用成語辭典
[W]:成語大辭典(上)(下)
[Z]:成語辨正辭典",7
45604,覆巢之卵,"[C]:經典成語
[R]:新編兒童成語小百科(1)~(12)
[Y]:新編成語故事",3
45605,覆巢完卵,"[J]:漢語成語考釋詞典",1
45606,覆巢破卵,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
45607,覆巢無完卵,"[A]:彩圖典故辭典(精)
[B]:中國成語大辭典
[E]:成語辭典
[K]:中國成語大辭典
[M]:(小學生語文學習文庫)成語中的知識第一輯(一)~(四)加附錄
[S]:活用成語分類辭典(上)(下)
[AA]:成語典故文選(上)(下)
[AC]:成語典",8
45608,覆巢傾卵,"[K]:中國成語大辭典",1
45609,覆巢毀卵,"[J]:漢語成語考釋詞典",1
45610,覆鹿尋蕉,"[K]:中國成語大辭典",1
45611,覆鹿遺苶,"[K]:中國成語大辭典",1
45612,覆瓿,"[A]:彩圖典故辭典(精)
[J]:漢語成語考釋詞典
[AA]:成語典故文選(上)(下)",3
45613,覆載恩澤,"[S]:活用成語分類辭典(上)(下)",1
45614,覆餗,"[J]:漢語成語考釋詞典",1
45615,覆餗之患,"[K]:中國成語大辭典",1
45616,覆餗之憂,"[K]:中國成語大辭典",1
45617,覆餗之懮,"[K]:中國成語大辭典",1
45618,覆餗折足,"[J]:漢語成語考釋詞典",1
45619,覆醢,"[A]:彩圖典故辭典(精)",1
45620,覆蕉得鹿,"[J]:漢語成語考釋詞典",1
45621,覆蕉尋鹿,"[K]:中國成語大辭典",1
45622,覆醬瓿,"[J]:漢語成語考釋詞典",1
45623,覆醬覆醅,"[J]:漢語成語考釋詞典",1
45624,覆轍匪遙,"[S]:活用成語分類辭典(上)(下)",1
45625,觴詠香山,"[S]:活用成語分類辭典(上)(下)",1
45626,謬,"[AC]:成語典",1
45627,謬以千里,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
45628,謬托知己,"[K]:中國成語大辭典",1
45629,謬采虛聲,"[K]:中國成語大辭典",1
45630,謬悠之說,"[G(2)]:實用成語辭典
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[AC]:成語典",4
45631,謬發議論,"[S]:活用成語分類辭典(上)(下)",1
45632,謬種流傳,"[B]:中國成語大辭典
[E]:成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[AA]:成語典故文選(上)(下)
[AC]:成語典",8
45633,謬種流慱,"[AD]:洪葉活用成語辭典",1
45634,謬膺重寄,"[B]:中國成語大辭典
[G(2)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[AC]:成語典",4
